featurecla,nameascii,sov0name,adm0name,latitude,longitude,pop_max,pop_min
Admin-1 capital,Bassar,Togo,Togo,9.26100006832,0.78900357378,61845,61845
Admin-1 capital,Sotouboua,Togo,Togo,8.55700213306,0.98499646233,21054,21054
Admin-1 capital,Medenine,Tunisia,Tunisia,33.3999990025,10.4166995576,61705,61705
Admin-1 capital,Kebili,Tunisia,Tunisia,33.6899970349,8.9710025379,19875,19875
Admin-1 capital,Tataouine,Tunisia,Tunisia,33.0000031543,10.4667035894,62577,62577
Admin-1 capital,L'Ariana,Tunisia,Tunisia,36.8666731534,10.1999975475,97687,97687
Admin-1 capital,Jendouba,Tunisia,Tunisia,36.5000040594,8.74999861458,51408,51408
Admin-1 capital,Kasserine,Tunisia,Tunisia,35.2167031048,8.71669850332,76243,76243
Admin-1 capital,Sdid Bouzid,Tunisia,Tunisia,35.0166960791,9.50000448226,42098,42098
Admin-1 capital,Siliana,Tunisia,Tunisia,36.0833041252,9.38330159966,26960,26960
Admin-1 capital,Mahdia,Tunisia,Tunisia,35.4839130445,11.0408766153,45977,45977
Admin-1 capital,Monastir,Tunisia,Tunisia,35.7307021352,10.7672945619,71546,41400
Admin-1 capital,Zaghouan,Tunisia,Tunisia,36.3999961613,10.1469966066,16911,16911
Admin-1 capital,Kalangala,Uganda,Uganda,-0.3088889,32.225,5200,5200
Admin-1 capital,Kumi,Uganda,Uganda,1.4608333,33.9361111,13000,13000
Admin-1 capital,Kaberamaido,Uganda,Uganda,1.7388889,33.1594444,3400,3400
Admin-1 capital,Kayunga,Uganda,Uganda,0.7025,32.8886111,21704,21704
Admin-1 capital,Iganga,Uganda,Uganda,0.6091667,33.4686111,45024,45024
Admin-1 capital,Kamuli,Uganda,Uganda,0.9472222,33.1197222,12764,12764
Admin-1 capital,Pallisa,Uganda,Uganda,1.145,33.7094444,30745,30745
Admin-1 capital,Mpigi,Uganda,Uganda,0.225,32.3136111,11082,11082
Admin-1 capital,Adjumani,Uganda,Uganda,3.3613889,31.8097222,34700,34700
Admin-1 capital,Nebbi,Uganda,Uganda,2.4758333,31.1025,30354,30354
Admin-1 capital,Kiboga,Uganda,Uganda,0.9161111,31.7741667,14512,14512
Admin-1 capital,Nakasongola,Uganda,Uganda,1.3088889,32.4563889,6921,6921
Admin-1 region capital,Bombo,Uganda,Uganda,0.58329910562,32.5332995249,75000,21000
Admin-1 capital,Masindi,Uganda,Uganda,1.6744444,31.715,31486,31486
Admin-1 region capital,Fort Portal,Uganda,Uganda,0.67100412113,30.275001616,42670,42670
Admin-1 capital,Kibale,Uganda,Uganda,0.8,31.0666667,5200,5200
Admin-1 capital,Sironko,Uganda,Uganda,1.25,34.3,14100,14100
Admin-1 capital,Busia,Uganda,Uganda,0.4544444,34.0758333,47100,47100
Admin-1 capital,Katakwi,Uganda,Uganda,1.8911111,33.9661111,8400,8400
Admin-1 capital,Ntungamo,Uganda,Uganda,-0.8794444,30.2641667,16400,16400
Admin-1 capital,Kisoro,Uganda,Uganda,-1.3538889,29.6983333,12900,12900
Admin-1 capital,Gikongoro,Rwanda,Rwanda,-2.48329794474,29.566701602,15000,15000
Admin-1 capital,Kibuye,Rwanda,Rwanda,-2.05000198533,29.3499995919,48024,48024
Admin-1 capital,Kibungo,Rwanda,Rwanda,-2.16669593181,30.5333015845,46240,46240
Admin-1 capital,Piggs Peak,Swaziland,Swaziland,-25.9610039877,31.2470014957,5750,5750
Admin-1 capital,Siteki,Swaziland,Swaziland,-26.4549960436,31.9519986213,6152,6152
Admin-1 capital,Manzini,Swaziland,Swaziland,-26.4950010563,31.3880044953,110537,110537
Admin-1 capital,Hlatikulu,Swaziland,Swaziland,-26.9999999269,31.4166965486,2748,2748
Admin-1 capital,Fatick,Senegal,Senegal,14.3440021019,-16.4159995209,24243,24243
Admin-1 capital,Qacha's Nek,South Africa,South Africa,-30.1172669153,28.7019995066,25573,25573
Admin-1 capital,Hudur,Somalia,Somalia,4.18329897276,43.866702605,1639,1639
Admin-1 capital,Garbahaarey,Somalia,Somalia,3.32700311625,42.2270016449,12652,12652
Admin-1 capital,Bu'aale,Somalia,Somalia,1.0833030174,42.5833025257,1490,1490
Admin-1 capital,Dhuusa Mareeb,Somalia,Somalia,5.7419999843,46.5080044999,447,447
Admin-1 capital,Umuahia,Nigeria,Nigeria,5.53200304108,7.48600248721,264662,264662
Admin-1 capital,Uyo,Nigeria,Nigeria,5.0079960555,7.84999852368,554906,436606
Admin-1 capital,Owerri,Nigeria,Nigeria,5.49299705326,7.0260035881,215038,215038
Admin-1 capital,Omaruru,Namibia,Namibia,-21.436001931,15.9509975392,11547,11547
Admin-1 capital,Karibib,Namibia,Namibia,-21.9390029173,15.8529964614,6898,6898
Admin-1 capital,Otavi,Namibia,Namibia,-19.6399980141,17.3420015476,4562,4562
Admin-1 capital,Gobabis,Namibia,Namibia,-22.4549999974,18.9630005375,16321,16321
Admin-1 capital,Wete,United Republic of Tanzania,Tanzania,-5.06346395918,39.7257990016,26450,26450
Admin-1 capital,Kibaha,United Republic of Tanzania,Tanzania,-6.76670395349,38.9167026015,23651,23651
Admin-1 capital,Mkokotoni,United Republic of Tanzania,Tanzania,-5.8789979746,39.259998618,2572,2572
Admin-1 capital,Cacheu,Guinea Bissau,Guinea Bissau,12.2689980311,-16.1649985401,10490,10490
Admin-1 capital,Farim,Guinea Bissau,Guinea Bissau,12.492999029,-15.2270004224,6792,6792
Admin-1 capital,Fulacunda,Guinea Bissau,Guinea Bissau,11.7729989893,-15.1949965446,1311,1311
Admin-1 capital,Gabu,Guinea Bissau,Guinea Bissau,12.2799960751,-14.2340034795,14430,14430
Admin-1 capital,Catio,Guinea Bissau,Guinea Bissau,11.2167000189,-15.1667004937,9898,9898
Admin-1 capital,Barclayville,Liberia,Liberia,4.7999969965,-8.16669851802,2733,2733
Admin-1 capital,Voinjama,Liberia,Liberia,8.41670111517,-9.74999652422,26594,26594
Admin-1 capital,Bensonville,Liberia,Liberia,6.43329903452,-10.6000015194,4089,4089
Admin-1 capital,Kakata,Liberia,Liberia,6.5259990088,-10.3490005387,33945,33945
Admin-1 capital,Sanniquellie,Liberia,Liberia,7.37100010911,-8.68499946155,11415,11415
Admin-1 capital,Rivercess,Liberia,Liberia,5.46499804554,-9.57799744238,2578,2578
Admin-1 capital,Nyeri,Kenya,Kenya,-0.41699699049,36.9510036318,51084,51084
Admin-1 capital,Teyateyaneng,Lesotho,Lesotho,-29.1529979356,27.7530035103,5115,5115
Admin-1 capital,Mohales Hoek,Lesotho,Lesotho,-30.1589999083,27.4799975055,24992,24992
Admin-1 capital,Moyeni,Lesotho,Lesotho,-30.4109999139,27.7160045083,24130,24130
Admin-1 capital,Hlotse,Lesotho,Lesotho,-28.8780029827,28.0559976365,47675,47675
Admin-1 capital,Butha-Buthe,Lesotho,Lesotho,-28.7499959113,28.2500015769,16330,16330
Admin-1 capital,Mokhotlong,Lesotho,Lesotho,-29.2910040261,29.078001548,8809,8809
Admin-1 capital,Evinayong,Equatorial Guinea,Equatorial Guinea,1.44999908525,10.5667025515,8462,8462
Admin-1 capital,Luba,Equatorial Guinea,Equatorial Guinea,3.44999702564,8.55000052502,8655,8655
Admin-1 capital,Shibin el Kom,Egypt,Egypt,30.5919991293,30.8999974869,182900,182900
Admin-1 capital,Benha,Egypt,Egypt,30.4666651155,31.1833356294,167029,167029
Admin-1 capital,Zagazig,Egypt,Egypt,30.5833320881,31.5166596006,285097,285097
Admin-1 capital,Kafr el Sheikh,Egypt,Egypt,31.1090040048,30.9359976295,143970,143970
Admin-1 capital,Dikhil,Djibouti,Djibouti,11.1040020064,42.3720005783,12043,12043
Admin-1 capital,Tadjoura,Djibouti,Djibouti,11.7833039878,42.9000034979,22193,22193
Admin-1 capital,Buluko,Congo (Kinshasa),Congo (Kinshasa),-0.75699888928,28.5280025406,1192,1192
Admin-1 capital,Mzimba,Malawi,Malawi,-11.9,33.6,19308,19308
Admin-1 capital,Machinga,Malawi,Malawi,-14.9666667,35.5166667,1418,1418
Admin-1 capital,Dedza,Malawi,Malawi,-14.3666667,34.3333333,15608,15608
Admin-1 capital,Mchinji,Malawi,Malawi,-13.8,32.9,18305,18305
Admin-1 capital,Ntcheu,Malawi,Malawi,-14.8166667,34.6333333,10445,10445
Admin-1 capital,Chiradzulu,Malawi,Malawi,-15.7,35.1833333,1580,1580
Admin-1 capital,Nsanje,Malawi,Malawi,-16.9166667,35.2666667,21774,21774
Admin-1 capital,Mwanza,Malawi,Malawi,-15.6166667,34.5166667,11379,11379
Admin-1 capital,Mulanje,Malawi,Malawi,-16.0333333,35.5,16483,16483
Admin-1 capital,Georgetown,"Gambia, The",The Gambia,13.5510030831,-14.7670015233,3584,3584
Admin-1 capital,Basse Santa Su,"Gambia, The",The Gambia,13.3100011215,-14.2229964994,14380,14380
Admin-1 capital,Kerewan,"Gambia, The",The Gambia,13.4939971067,-16.09499647,2751,2751
Admin-1 capital,Mansa Konko,"Gambia, The",The Gambia,13.3773120964,-15.6785664397,18672,18672
Admin-1 capital,Sunyani,Ghana,Ghana,7.33599899132,-2.33600341635,70299,70299
Admin-1 capital,Ebebiyin,Gabon,Gabon,2.15299799566,11.330001556,24831,24831
