featurecla,nameascii,sov0name,adm0name,latitude,longitude,pop_max,pop_min
Admin-1 capital,Colonia del Sacramento,Uruguay,Uruguay,-34.4799990054,-57.8400024734,21714,21714
Admin-1 capital,Trinidad,Uruguay,Uruguay,-33.5439989374,-56.9009965602,21093,21093
Admin-1 capital,Fray Bentos,Uruguay,Uruguay,-33.1389990288,-58.3039974719,23279,23279
Admin-1 capital,Canelones,Uruguay,Uruguay,-34.5380040067,-56.2840014932,19698,19698
Admin-1 capital,Florida,Uruguay,Uruguay,-34.0990020052,-56.214998448,32234,32234
Admin-1 capital,Bassar,Togo,Togo,9.26100006832,0.78900357378,61845,61845
Admin-1 capital,Sotouboua,Togo,Togo,8.55700213306,0.98499646233,21054,21054
Admin-1 capital,Medenine,Tunisia,Tunisia,33.3999990025,10.4166995576,61705,61705
Admin-1 capital,Kebili,Tunisia,Tunisia,33.6899970349,8.9710025379,19875,19875
Admin-1 capital,Tataouine,Tunisia,Tunisia,33.0000031543,10.4667035894,62577,62577
Admin-1 capital,L'Ariana,Tunisia,Tunisia,36.8666731534,10.1999975475,97687,97687
Admin-1 capital,Jendouba,Tunisia,Tunisia,36.5000040594,8.74999861458,51408,51408
Admin-1 capital,Kasserine,Tunisia,Tunisia,35.2167031048,8.71669850332,76243,76243
Admin-1 capital,Sdid Bouzid,Tunisia,Tunisia,35.0166960791,9.50000448226,42098,42098
Admin-1 capital,Siliana,Tunisia,Tunisia,36.0833041252,9.38330159966,26960,26960
Admin-1 capital,Mahdia,Tunisia,Tunisia,35.4839130445,11.0408766153,45977,45977
Admin-1 capital,Monastir,Tunisia,Tunisia,35.7307021352,10.7672945619,71546,41400
Admin-1 capital,Zaghouan,Tunisia,Tunisia,36.3999961613,10.1469966066,16911,16911
Admin-1 capital,Tay Ninh,Vietnam,Vietnam,11.3229991094,106.146999683,126370,126370
Admin-1 capital,Luan Chau,Vietnam,Vietnam,21.7400039919,103.34300468,7335,7335
Admin-1 capital,Bac Kan,Vietnam,Vietnam,22.1333333,105.8333333,29227,29227
Admin-1 capital,Lang Son,Vietnam,Vietnam,21.845997103,106.757001576,148000,148000
Admin-1 capital,Son La,Vietnam,Vietnam,21.3280021387,103.910004651,19054,19054
Admin-1 capital,Tuyen Quang,Vietnam,Vietnam,21.8179980953,105.210999615,36430,36430
Admin-1 capital,Yen Bai,Vietnam,Vietnam,21.7050030395,104.875002586,96540,96540
Admin-1 capital,Hai Duong,Vietnam,Vietnam,20.9420010782,106.331004604,58030,58030
Admin-1 capital,Thai Binh,Vietnam,Vietnam,20.4503041151,106.333029628,210000,210000
Admin-1 capital,Tuy Hoa,Vietnam,Vietnam,13.0820040243,109.315998684,69596,69596
Admin-1 capital,Thu Dau Mot,Vietnam,Vietnam,10.9690740774,106.652745547,244277,244277
Admin-1 capital,Dong Ha,Vietnam,Vietnam,16.8499981032,107.133300661,17662,17662
Admin-1 capital,Cao Lanh,Vietnam,Vietnam,10.4670001305,105.635997562,149837,149837
Admin-1 capital,Truc Giang,Vietnam,Vietnam,10.2349979978,106.374996615,59442,59442
Admin-1 capital,Tra Vinh,Vietnam,Vietnam,9.93400208679,106.334001679,131360,131360
Admin-1 capital,Vinh Long,Vietnam,Vietnam,10.256003997,105.964002557,103314,103314
Admin-1 capital,Cao Bang,Vietnam,Vietnam,22.663998055,106.268004644,41112,41112
Admin-1 capital,Yoro,Honduras,Honduras,15.059997106,-87.2900005384,15774,15774
Admin-1 capital,La Esperanza,Honduras,Honduras,14.3330040579,-88.1666995372,5318,5318
Admin-1 capital,La Paz,Honduras,Honduras,14.3199990281,-87.6840025685,17555,17555
Admin-1 capital,Santa Barbara,Honduras,Honduras,14.9190030426,-88.2359996256,15119,15119
Admin-1 capital,Gracias,Honduras,Honduras,14.583303057,-88.5833005122,7909,7909
Admin-1 capital,Nueva Ocotepeque,Honduras,Honduras,14.4369991194,-89.1819985474,8780,8780
Admin-1 capital,Yuscaran,Honduras,Honduras,13.9439969867,-86.850998537,2371,2371
Admin-1 capital,Jeremie,Haiti,Haiti,18.6339347272,-74.1184252634,30917,30917
Admin-1 capital,Port-De-Paix,Haiti,Haiti,19.9317600761,-72.8294845231,34657,34657
Admin-1 capital,Hinche,Haiti,Haiti,19.1430000867,-72.0039956011,18590,18590
Admin-1 capital,Fort-Liberte,Haiti,Haiti,19.6655670335,-71.8448395405,11465,11465
Admin-1 capital,Jacmel,Haiti,Haiti,18.2349990264,-72.5370025809,33563,33563
Admin-1 capital,Kirklareli,Turkey,Turkey,41.7429991699,27.2259996157,58223,58223
Admin-1 capital,Bilecik,Turkey,Turkey,40.1499990223,29.9829965977,40285,40285
Admin-1 capital,Sakarya,Turkey,Turkey,40.7666611361,30.4000025112,286787,286787
Admin-1 capital,Kastamonu,Turkey,Turkey,41.3890021526,33.7830034905,70402,70402
